#RFC8805,,,,
#For AS141253,,,,
#prefix,country_code,region_code,city,postal
103.188.95.0/24,IN,IN-MZ,Aizawl,796001
103.169.52.0/24,IN,IN-MZ,Aizawl,796001
103.169.53.0/24,IN,IN-MZ,Aizawl,796001
103.161.3.0/24,IN,IN-MZ,Aizawl,796001
103.170.62.0/24,IN,IN-MZ,Aizawl,796001
160.30.146.0/23,IN,IN-MH,Mumbai,400001
160.30.146.0/24,IN,IN-MH,Mumbai,400001
160.30.147.0/24,IN,IN-MZ,Aizawl,796001
160.30.147.112/31,IN,IN-AR,Itanagar,791111
103.158.181.27/31,IN,IN-DL,Delhi,110001
103.119.240.0/24,IN-MH,Mumbai,400001
103.119.240.0/24,IN,IN-MZ,Aizwal,796001

